HOG	OG	Gene Tree Parent Clade	AspNid.pep	ConCor.proteins	SacCer.proteins	ggMorZona1.proteins	ggMucLanc1.proteins	ggRhiOryz1.proteins	gzAbsCyli1.proteins	gzAbsGlau1.proteins	gzCunBlak1.proteins	gzCunEchi1.proteins	gzLicCory1.proteins	gzLinHyal1.proteins	gzMorAlpi1.proteins	gzMucCirc1.proteins	gzMucCirc2.proteins	gzMucFrag1.proteins	gzMucHiem1.proteins	gzMucPlum2.proteins	gzPodHuml1.proteins	gzRhiMicr1.proteins	gzRhiStol1.proteins	gzUmbIsab1.proteins	gzUmbRama1.proteins	gzUmbVina1.proteins
N13.HOG0000049	OG0000002	n167						GGRHOR1EN_000298														GZRHMI1EN_003588	GZRHST1EN_011028, GZRHST1EN_008569			
N13.HOG0000050	OG0000002	n189						GGRHOR1EN_003929, GGRHOR1EN_008556														GZRHMI1EN_001706	GZRHST1EN_009099, GZRHST1EN_012302			
N13.HOG0000051	OG0000002	n217						GGRHOR1EN_012462														GZRHMI1EN_001476	GZRHST1EN_004886, GZRHST1EN_009224			
N13.HOG0000052	OG0000002	n241						GGRHOR1EN_006224, GGRHOR1EN_010297														GZRHMI1EN_010017	GZRHST1EN_009618, GZRHST1EN_008889, GZRHST1EN_009619			
N13.HOG0000053	OG0000002	n260																				GZRHMI1EN_006085	GZRHST1EN_001358			
N13.HOG0000054	OG0000002	n302						GGRHOR1EN_009632, GGRHOR1EN_002297														GZRHMI1EN_005611	GZRHST1EN_011197			
N13.HOG0000055	OG0000002	n311																					GZRHST1EN_006651			
N13.HOG0000056	OG0000002	n324						GGRHOR1EN_011448														GZRHMI1EN_006443	GZRHST1EN_007029			
N13.HOG0000057	OG0000002	n336						GGRHOR1EN_009990														GZRHMI1EN_009812	GZRHST1EN_005102, GZRHST1EN_012041			
N13.HOG0000058	OG0000003	n68						GGRHOR1EN_004711, GGRHOR1EN_010988														GZRHMI1EN_002389				
N13.HOG0000059	OG0000003	n110						GGRHOR1EN_000027, GGRHOR1EN_006991														GZRHMI1EN_004951	GZRHST1EN_012095, GZRHST1EN_007630, GZRHST1EN_007625, GZRHST1EN_007620			
N13.HOG0000060	OG0000003	n138						GGRHOR1EN_007333, GGRHOR1EN_007576														GZRHMI1EN_007987	GZRHST1EN_000463, GZRHST1EN_006160			
N13.HOG0000061	OG0000003	n173						GGRHOR1EN_007715															GZRHST1EN_004834			
N13.HOG0000062	OG0000003	n184						GGRHOR1EN_000727, GGRHOR1EN_000714, GGRHOR1EN_006527														GZRHMI1EN_001134	GZRHST1EN_011289, GZRHST1EN_011898			
N13.HOG0000063	OG0000003	n214						GGRHOR1EN_013026, GGRHOR1EN_009138														GZRHMI1EN_006919	GZRHST1EN_009054			
N13.HOG0000064	OG0000003	n237						GGRHOR1EN_000363														GZRHMI1EN_008428	GZRHST1EN_002175			
N13.HOG0000065	OG0000003	n261						GGRHOR1EN_008481														GZRHMI1EN_004386	GZRHST1EN_008667			
N13.HOG0000066	OG0000003	n283						GGRHOR1EN_013692														GZRHMI1EN_007796	GZRHST1EN_011476			
N13.HOG0000067	OG0000004	n30						GGRHOR1EN_007111														GZRHMI1EN_006886	GZRHST1EN_011052			
N13.HOG0000068	OG0000004	n120						GGRHOR1EN_004254														GZRHMI1EN_004747	GZRHST1EN_001906			
N13.HOG0000069	OG0000004	n172						GGRHOR1EN_006736														GZRHMI1EN_004148				
N13.HOG0000070	OG0000004	n173																				GZRHMI1EN_003640, GZRHMI1EN_003626, GZRHMI1EN_003610	GZRHST1EN_002945			
N13.HOG0000071	OG0000004	n176						GGRHOR1EN_002694, GGRHOR1EN_006497, GGRHOR1EN_006500, GGRHOR1EN_006502, GGRHOR1EN_006504															GZRHST1EN_000772			
N13.HOG0000072	OG0000004	n181						GGRHOR1EN_004828, GGRHOR1EN_008345, GGRHOR1EN_006898														GZRHMI1EN_008561	GZRHST1EN_002944, GZRHST1EN_008952, GZRHST1EN_002943, GZRHST1EN_002889, GZRHST1EN_002946, GZRHST1EN_002907			
N13.HOG0000073	OG0000004	n190																				GZRHMI1EN_003725, GZRHMI1EN_003726	GZRHST1EN_007160, GZRHST1EN_007161			
N13.HOG0000074	OG0000004	n201																				GZRHMI1EN_004149				
N13.HOG0000075	OG0000004	n259						GGRHOR1EN_006735														GZRHMI1EN_003724				
N13.HOG0000076	OG0000005	n1						GGRHOR1EN_008696															GZRHST1EN_002905			
N13.HOG0000077	OG0000005	n28						GGRHOR1EN_007409																		
N13.HOG0000078	OG0000005	n30						GGRHOR1EN_009373, GGRHOR1EN_009369																		
N13.HOG0000079	OG0000005	n32						GGRHOR1EN_004674																		
N13.HOG0000080	OG0000005	n34						GGRHOR1EN_009545															GZRHST1EN_011340			
N13.HOG0000081	OG0000005	n39						GGRHOR1EN_007621														GZRHMI1EN_005817				
N13.HOG0000082	OG0000005	n60																				GZRHMI1EN_006452				
N13.HOG0000083	OG0000005	n63						GGRHOR1EN_004304														GZRHMI1EN_005878				
N13.HOG0000084	OG0000005	n78						GGRHOR1EN_007863														GZRHMI1EN_006061				
N13.HOG0000085	OG0000005	n79						GGRHOR1EN_007338														GZRHMI1EN_008564				
N13.HOG0000086	OG0000005	n86						GGRHOR1EN_008789															GZRHST1EN_007275			
N13.HOG0000087	OG0000005	n89						GGRHOR1EN_007759, GGRHOR1EN_009461																		
N13.HOG0000088	OG0000005	n94						GGRHOR1EN_002766, GGRHOR1EN_000129, GGRHOR1EN_002073, GGRHOR1EN_002768														GZRHMI1EN_007606	GZRHST1EN_012113			
N13.HOG0000089	OG0000005	n99						GGRHOR1EN_002074														GZRHMI1EN_007604	GZRHST1EN_000163, GZRHST1EN_007853			
N13.HOG0000090	OG0000005	n102						GGRHOR1EN_001472															GZRHST1EN_002615			
N13.HOG0000091	OG0000005	n107						GGRHOR1EN_009053, GGRHOR1EN_003062															GZRHST1EN_007130			
N13.HOG0000092	OG0000005	n112						GGRHOR1EN_004200														GZRHMI1EN_007345	GZRHST1EN_010487			
N13.HOG0000093	OG0000005	n118						GGRHOR1EN_013489																		
N13.HOG0000094	OG0000005	n119						GGRHOR1EN_002333														GZRHMI1EN_001780				
N13.HOG0000095	OG0000005	n126																				GZRHMI1EN_007324				
N13.HOG0000096	OG0000005	n131						GGRHOR1EN_013427, GGRHOR1EN_005970															GZRHST1EN_010363			
N13.HOG0000097	OG0000005	n138						GGRHOR1EN_008366															GZRHST1EN_007326			
N13.HOG0000098	OG0000005	n142						GGRHOR1EN_008703, GGRHOR1EN_003824																		
N13.HOG0000099	OG0000005	n149						GGRHOR1EN_004096, GGRHOR1EN_004094																		
N13.HOG0000100	OG0000005	n152						GGRHOR1EN_003512														GZRHMI1EN_006870	GZRHST1EN_006285			
N13.HOG0000101	OG0000005	n157						GGRHOR1EN_012887														GZRHMI1EN_009671				
N13.HOG0000102	OG0000005	n160						GGRHOR1EN_001846																		
N13.HOG0000103	OG0000005	n166						GGRHOR1EN_011071														GZRHMI1EN_000332, GZRHMI1EN_008268	GZRHST1EN_002942			
N13.HOG0000104	OG0000005	n169						GGRHOR1EN_000537														GZRHMI1EN_005575				
N13.HOG0000105	OG0000005	n171						GGRHOR1EN_001536																		
N13.HOG0000106	OG0000005	n174																					GZRHST1EN_011259			
N13.HOG0000107	OG0000005	n180																					GZRHST1EN_011909			
N13.HOG0000108	OG0000005	n184						GGRHOR1EN_011079																		
N13.HOG0000109	OG0000005	n186						GGRHOR1EN_007674																		
N13.HOG0000110	OG0000005	n188						GGRHOR1EN_003030																		
N13.HOG0000111	OG0000005	n195						GGRHOR1EN_007100, GGRHOR1EN_011983														GZRHMI1EN_001781	GZRHST1EN_003530			
N13.HOG0000112	OG0000005	n200						GGRHOR1EN_013488, GGRHOR1EN_010159														GZRHMI1EN_003731	GZRHST1EN_002169			
N13.HOG0000113	OG0000005	n204						GGRHOR1EN_006116																		
N13.HOG0000114	OG0000005	n205																					GZRHST1EN_007350			
N13.HOG0000115	OG0000005	n211																				GZRHMI1EN_004982				
N13.HOG0000116	OG0000005	n227																				GZRHMI1EN_002290				
N13.HOG0000117	OG0000005	n233																				GZRHMI1EN_004983				
N13.HOG0000118	OG0000005	n236						GGRHOR1EN_012626															GZRHST1EN_000870			
N13.HOG0000119	OG0000005	n239																				GZRHMI1EN_002774				
N13.HOG0000120	OG0000005	n240																				GZRHMI1EN_002291				
N13.HOG0000121	OG0000005	n242																				GZRHMI1EN_008838, GZRHMI1EN_002199, GZRHMI1EN_004496				
N13.HOG0000122	OG0000005	n245																				GZRHMI1EN_007276				
N13.HOG0000123	OG0000005	n246																				GZRHMI1EN_006046				
N13.HOG0000124	OG0000005	n249						GGRHOR1EN_000066														GZRHMI1EN_007302, GZRHMI1EN_007301	GZRHST1EN_008182			
N13.HOG0000125	OG0000005	n256						GGRHOR1EN_008806																		
N13.HOG0000126	OG0000005	n257						GGRHOR1EN_001852																		
N13.HOG0000127	OG0000005	n269						GGRHOR1EN_003160, GGRHOR1EN_000388, GGRHOR1EN_000659																		
N13.HOG0000128	OG0000005	n276						GGRHOR1EN_011622																		
N13.HOG0000129	OG0000005	n293						GGRHOR1EN_013721, GGRHOR1EN_003623																		
N13.HOG0000130	OG0000005	n299						GGRHOR1EN_011188																		
N13.HOG0000131	OG0000005	n306																					GZRHST1EN_001167			
N13.HOG0000132	OG0000005	n307						GGRHOR1EN_005429, GGRHOR1EN_008506, GGRHOR1EN_006688, GGRHOR1EN_005018, GGRHOR1EN_003788															GZRHST1EN_008508, GZRHST1EN_003554			
N13.HOG0000133	OG0000006	n16						GGRHOR1EN_007625														GZRHMI1EN_009436	GZRHST1EN_005561			
N13.HOG0000134	OG0000006	n47						GGRHOR1EN_009182														GZRHMI1EN_002676	GZRHST1EN_001127, GZRHST1EN_005520			
N13.HOG0000135	OG0000006	n73						GGRHOR1EN_007920, GGRHOR1EN_008353														GZRHMI1EN_005107	GZRHST1EN_003900			
N13.HOG0000136	OG0000006	n92						GGRHOR1EN_010140														GZRHMI1EN_006729	GZRHST1EN_008997			
N13.HOG0000137	OG0000006	n98						GGRHOR1EN_013447, GGRHOR1EN_013459, GGRHOR1EN_001012, GGRHOR1EN_005692														GZRHMI1EN_009340	GZRHST1EN_003224, GZRHST1EN_012004			
N13.HOG0000138	OG0000006	n118						GGRHOR1EN_007402														GZRHMI1EN_006832				
N13.HOG0000139	OG0000006	n129						GGRHOR1EN_001976, GGRHOR1EN_012669														GZRHMI1EN_006379	GZRHST1EN_012189, GZRHST1EN_012220, GZRHST1EN_004894			
N13.HOG0000140	OG0000006	n155						GGRHOR1EN_002208														GZRHMI1EN_002171	GZRHST1EN_012250			
N13.HOG0000141	OG0000006	n212						GGRHOR1EN_008287, GGRHOR1EN_006635															GZRHST1EN_003871, GZRHST1EN_007185			
N13.HOG0000142	OG0000006	n232						GGRHOR1EN_008359, GGRHOR1EN_007918														GZRHMI1EN_005121	GZRHST1EN_003165, GZRHST1EN_010441			
N13.HOG0000143	OG0000006	n241						GGRHOR1EN_008412, GGRHOR1EN_000481														GZRHMI1EN_005030	GZRHST1EN_003914, GZRHST1EN_010719			
N13.HOG0000144	OG0000006	n272						GGRHOR1EN_000522														GZRHMI1EN_009828	GZRHST1EN_005110			
N13.HOG0000145	OG0000006	n305																				GZRHMI1EN_005181				
N13.HOG0000146	OG0000007	n4						GGRHOR1EN_007337, GGRHOR1EN_003154														GZRHMI1EN_010221				
N13.HOG0000147	OG0000007	n24						GGRHOR1EN_005900														GZRHMI1EN_010415	GZRHST1EN_003564			
N13.HOG0000148	OG0000007	n33						GGRHOR1EN_010428														GZRHMI1EN_007094	GZRHST1EN_010985			
N13.HOG0000149	OG0000007	n37						GGRHOR1EN_011674																		
N13.HOG0000150	OG0000007	n38						GGRHOR1EN_009458																		
N13.HOG0000151	OG0000007	n39						GGRHOR1EN_006645															GZRHST1EN_002108			
N13.HOG0000152	OG0000007	n42																					GZRHST1EN_008810			
N13.HOG0000153	OG0000007	n77						GGRHOR1EN_010789, GGRHOR1EN_003647															GZRHST1EN_000741			
N13.HOG0000154	OG0000007	n81																					GZRHST1EN_009308			
N13.HOG0000155	OG0000007	n82																					GZRHST1EN_005422			
N13.HOG0000156	OG0000007	n83						GGRHOR1EN_010153, GGRHOR1EN_000861															GZRHST1EN_012313, GZRHST1EN_006647, GZRHST1EN_006646			
N13.HOG0000157	OG0000007	n90						GGRHOR1EN_003118, GGRHOR1EN_011115														GZRHMI1EN_004377				
N13.HOG0000158	OG0000007	n94						GGRHOR1EN_003646, GGRHOR1EN_007626														GZRHMI1EN_009557	GZRHST1EN_009307			
N13.HOG0000159	OG0000007	n102						GGRHOR1EN_008385															GZRHST1EN_009509			
N13.HOG0000160	OG0000007	n105						GGRHOR1EN_008418, GGRHOR1EN_008417, GGRHOR1EN_007166																		
N13.HOG0000161	OG0000007	n108						GGRHOR1EN_012784, GGRHOR1EN_001368															GZRHST1EN_006020			
N13.HOG0000162	OG0000007	n111																				GZRHMI1EN_008852	GZRHST1EN_003565			
N13.HOG0000163	OG0000007	n113																				GZRHMI1EN_003383	GZRHST1EN_004065			
N13.HOG0000164	OG0000007	n137						GGRHOR1EN_008781														GZRHMI1EN_003745				
N13.HOG0000165	OG0000007	n139																					GZRHST1EN_011458			
N13.HOG0000166	OG0000007	n140																					GZRHST1EN_009199			
N13.HOG0000167	OG0000007	n146						GGRHOR1EN_000863																		
N13.HOG0000168	OG0000007	n147						GGRHOR1EN_009107, GGRHOR1EN_000447																		
N13.HOG0000169	OG0000007	n150						GGRHOR1EN_006862, GGRHOR1EN_009217																		
N13.HOG0000170	OG0000007	n152						GGRHOR1EN_005637														GZRHMI1EN_000399				
N13.HOG0000171	OG0000007	n165																				GZRHMI1EN_004533				
N13.HOG0000172	OG0000007	n175																				GZRHMI1EN_007840	GZRHST1EN_008586			
N13.HOG0000173	OG0000007	n177						GGRHOR1EN_007964														GZRHMI1EN_004506	GZRHST1EN_006842			
N13.HOG0000174	OG0000007	n179						GGRHOR1EN_005638															GZRHST1EN_008527, GZRHST1EN_000177, GZRHST1EN_000176			
N13.HOG0000175	OG0000007	n185																				GZRHMI1EN_001511	GZRHST1EN_007678			
N13.HOG0000176	OG0000007	n186						GGRHOR1EN_007664														GZRHMI1EN_005101	GZRHST1EN_001138			
N13.HOG0000177	OG0000007	n190																				GZRHMI1EN_002479				
N13.HOG0000178	OG0000007	n203																				GZRHMI1EN_010197, GZRHMI1EN_004062	GZRHST1EN_012450			
N13.HOG0000179	OG0000007	n214						GGRHOR1EN_009108, GGRHOR1EN_000864, GGRHOR1EN_010021																		
N13.HOG0000180	OG0000007	n240						GGRHOR1EN_011034														GZRHMI1EN_006278	GZRHST1EN_005114			
N13.HOG0000181	OG0000007	n246																					GZRHST1EN_002445			
N13.HOG0000182	OG0000007	n249						GGRHOR1EN_005674															GZRHST1EN_004249, GZRHST1EN_005286			
N13.HOG0000183	OG0000007	n257						GGRHOR1EN_001094														GZRHMI1EN_004505				
N13.HOG0000184	OG0000007	n259						GGRHOR1EN_004407																		
N13.HOG0000185	OG0000007	n260						GGRHOR1EN_004000, GGRHOR1EN_011618																		
N13.HOG0000186	OG0000007	n269						GGRHOR1EN_011036, GGRHOR1EN_011035, GGRHOR1EN_005588, GGRHOR1EN_005673														GZRHMI1EN_010022	GZRHST1EN_003342			
N13.HOG0000187	OG0000007	n278																				GZRHMI1EN_002938				
N13.HOG0000188	OG0000007	n283																					GZRHST1EN_002444			
N13.HOG0000189	OG0000007	n295																					GZRHST1EN_010624			
N13.HOG0000190	OG0000008	n7						GGRHOR1EN_009164, GGRHOR1EN_012977														GZRHMI1EN_003379	GZRHST1EN_007345, GZRHST1EN_001254			
N13.HOG0000191	OG0000008	n22						GGRHOR1EN_004670														GZRHMI1EN_007676	GZRHST1EN_004714			
N13.HOG0000192	OG0000008	n40						GGRHOR1EN_007237														GZRHMI1EN_002694	GZRHST1EN_009142			
N13.HOG0000193	OG0000008	n60						GGRHOR1EN_007859, GGRHOR1EN_013460														GZRHMI1EN_001224	GZRHST1EN_009754			
N13.HOG0000194	OG0000008	n92																					GZRHST1EN_011383			
N13.HOG0000195	OG0000008	n107																					GZRHST1EN_010536			
N13.HOG0000196	OG0000008	n132						GGRHOR1EN_009241, GGRHOR1EN_010503														GZRHMI1EN_009454	GZRHST1EN_006029			
N13.HOG0000197	OG0000008	n160						GGRHOR1EN_006358														GZRHMI1EN_005955	GZRHST1EN_010537, GZRHST1EN_010755			
N13.HOG0000198	OG0000008	n172						GGRHOR1EN_001546														GZRHMI1EN_003082	GZRHST1EN_006314			
N13.HOG0000199	OG0000008	n193						GGRHOR1EN_011169														GZRHMI1EN_005461	GZRHST1EN_003014			
N13.HOG0000200	OG0000008	n210						GGRHOR1EN_005824, GGRHOR1EN_005849, GGRHOR1EN_005954														GZRHMI1EN_000883, GZRHMI1EN_005305	GZRHST1EN_000820, GZRHST1EN_006072, GZRHST1EN_13119			
N13.HOG0000201	OG0000008	n233						GGRHOR1EN_013043														GZRHMI1EN_007005	GZRHST1EN_001275, GZRHST1EN_007257			
N13.HOG0000202	OG0000008	n248						GGRHOR1EN_009595														GZRHMI1EN_009572	GZRHST1EN_008148			
N13.HOG0000203	OG0000008	n260						GGRHOR1EN_011299														GZRHMI1EN_005816	GZRHST1EN_006787			
N13.HOG0000204	OG0000009	n6						GGRHOR1EN_007384														GZRHMI1EN_006718	GZRHST1EN_000494			
N13.HOG0000205	OG0000009	n42						GGRHOR1EN_002174														GZRHMI1EN_001525	GZRHST1EN_005322			
N13.HOG0000206	OG0000009	n57						GGRHOR1EN_010299														GZRHMI1EN_004809	GZRHST1EN_001928			
N13.HOG0000207	OG0000009	n71						GGRHOR1EN_006336														GZRHMI1EN_007346	GZRHST1EN_010793			
N13.HOG0000208	OG0000009	n114						GGRHOR1EN_002732, GGRHOR1EN_001620, GGRHOR1EN_001604														GZRHMI1EN_006604	GZRHST1EN_003364, GZRHST1EN_004798			
N13.HOG0000209	OG0000009	n152																				GZRHMI1EN_003098				
N13.HOG0000210	OG0000010	n11						GGRHOR1EN_004475														GZRHMI1EN_006034	GZRHST1EN_011485			
N13.HOG0000211	OG0000010	n37						GGRHOR1EN_004474														GZRHMI1EN_006033				
N13.HOG0000212	OG0000010	n52						GGRHOR1EN_003877														GZRHMI1EN_000546	GZRHST1EN_003238, GZRHST1EN_009119			
N13.HOG0000213	OG0000010	n97						GGRHOR1EN_012304														GZRHMI1EN_002514	GZRHST1EN_006297			
N13.HOG0000214	OG0000010	n109						GGRHOR1EN_001091, GGRHOR1EN_008171														GZRHMI1EN_010171	GZRHST1EN_003428, GZRHST1EN_002308			
N13.HOG0000215	OG0000010	n123						GGRHOR1EN_013842, GGRHOR1EN_005599														GZRHMI1EN_009068	GZRHST1EN_010424			
N13.HOG0000216	OG0000010	n169						GGRHOR1EN_007434, GGRHOR1EN_000858														GZRHMI1EN_002652	GZRHST1EN_011201, GZRHST1EN_012699			
N13.HOG0000217	OG0000010	n190						GGRHOR1EN_010642, GGRHOR1EN_004394														GZRHMI1EN_007574	GZRHST1EN_003820			
N13.HOG0000218	OG0000010	n207																					GZRHST1EN_010899			
N13.HOG0000219	OG0000010	n217						GGRHOR1EN_001080														GZRHMI1EN_010183	GZRHST1EN_002297, GZRHST1EN_003419			
N13.HOG0000220	OG0000011	n11						GGRHOR1EN_009860														GZRHMI1EN_001904	GZRHST1EN_010237			
N13.HOG0000221	OG0000011	n217						GGRHOR1EN_009178, GGRHOR1EN_009210														GZRHMI1EN_005845, GZRHMI1EN_005886, GZRHMI1EN_006970, GZRHMI1EN_007048, GZRHMI1EN_006969, GZRHMI1EN_007050, GZRHMI1EN_006978, GZRHMI1EN_002681, GZRHMI1EN_007049, GZRHMI1EN_007093	GZRHST1EN_007517			
N13.HOG0000222	OG0000011	n229						GGRHOR1EN_005518														GZRHMI1EN_009070	GZRHST1EN_009834, GZRHST1EN_009835, GZRHST1EN_009836, GZRHST1EN_004492, GZRHST1EN_004491			
N13.HOG0000223	OG0000012	n6						GGRHOR1EN_004357																		
N13.HOG0000224	OG0000012	n7						GGRHOR1EN_14238														GZRHMI1EN_001336	GZRHST1EN_13139			
