	AspNid.pep	ConCor.proteins	SacCer.proteins	ggMorZona1.proteins	ggMucLanc1.proteins	ggRhiOryz1.proteins	gzAbsCyli1.proteins	gzAbsGlau1.proteins	gzCunBlak1.proteins	gzCunEchi1.proteins	gzLicCory1.proteins	gzLinHyal1.proteins	gzMorAlpi1.proteins	gzMucCirc1.proteins	gzMucCirc2.proteins	gzMucFrag1.proteins	gzMucHiem1.proteins	gzMucPlum2.proteins	gzPodHuml1.proteins	gzRhiMicr1.proteins	gzRhiStol1.proteins	gzUmbIsab1.proteins	gzUmbRama1.proteins	gzUmbVina1.proteins
'5	0.3	0.4	0.1	0.3	0.4	0.7	1.0	0.8	0.3	0.4	0.6	0.4	0.3	0.5	0.6	0.4	0.5	0.4	0.3	0.3	0.7	0.2	0.2	0.2
'6	0.2	0.2	0.0	0.2	0.2	0.4	0.5	0.5	0.1	0.2	0.4	0.2	0.2	0.3	0.3	0.3	0.3	0.3	0.3	0.2	0.4	0.1	0.1	0.1
'7	0.1	0.1	0.0	0.1	0.2	0.3	0.4	0.2	0.1	0.1	0.3	0.1	0.1	0.2	0.1	0.1	0.2	0.1	0.1	0.1	0.2	0.1	0.1	0.1
'8	0.1	0.1	0.0	0.1	0.0	0.2	0.3	0.2	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.2	0.0	0.0	0.1
'9	0.1	0.1	0.0	0.1	0.0	0.1	0.1	0.1	0.0	0.0	0.1	0.1	0.1	0.0	0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.0	0.0	0.0
'10	0.0	0.1	0.0	0.0	0.0	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0
11-15	0.1	0.2	0.0	0.1	0.1	0.2	0.2	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.0	0.0	0.1
16-20	0.1	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0
21-50	0.1	0.2	0.0	0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0
51-100	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	4005	3433	2893	6765	4968	4012	3750	4020	5346	5264	4373	6751	5577	5383	5372	5222	4886	5217	5573	5094	4124	5758	5764	5732
'2	1282	1098	1168	2850	2648	3504	3888	3286	2320	2526	2616	2812	2846	2778	2778	2764	3012	2718	2896	2302	3200	1956	1972	1998
'3	627	543	273	753	1254	1665	2067	1602	867	924	1473	825	696	1308	1260	1224	1326	1212	852	939	1539	681	645	702
'4	416	368	156	404	616	1148	1484	1224	524	592	804	444	428	780	764	780	816	744	476	468	1056	268	356	312
'5	275	310	65	250	325	580	815	650	290	350	530	335	215	430	480	325	410	310	290	270	610	160	130	130
'6	228	222	48	180	192	450	522	462	132	186	366	156	192	288	276	270	306	282	306	210	372	84	102	120
'7	140	175	21	126	196	392	441	238	119	98	350	126	84	203	168	161	189	112	140	105	287	91	91	77
'8	176	112	8	88	64	272	352	232	48	72	200	168	80	88	96	64	168	96	184	80	256	56	56	80
'9	126	180	0	99	72	189	225	153	63	54	126	117	99	72	63	45	90	72	144	81	126	0	54	54
'10	50	170	20	30	70	120	140	140	90	40	60	30	70	110	110	130	60	60	70	90	150	0	0	30
11-15	263	485	46	175	168	397	323	335	215	182	285	228	193	157	145	152	302	248	373	216	229	51	58	111
16-20	195	317	37	119	110	197	109	132	52	39	253	103	71	142	159	105	104	111	199	53	194	35	71	18
21-50	298	1012	91	276	51	488	394	143	234	160	152	260	180	73	29	69	195	52	425	222	261	0	33	0
51-100	63	800	0	0	0	63	94	0	54	0	199	0	0	0	0	0	0	0	372	0	0	0	0	0
101-150	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	38.0	32.5	43.8	53.5	45.1	28.8	23.9	31.0	49.9	48.2	34.4	52.4	49.0	45.0	45.4	45.5	39.5	45.8	41.5	48.7	32.1	61.6	60.5	59.5
'2	12.2	10.4	17.7	22.5	24.1	25.2	24.8	25.3	21.6	23.1	20.6	21.8	25.0	23.2	23.5	24.1	24.3	23.9	21.5	22.0	24.9	20.9	20.7	20.7
'3	6.0	5.1	4.1	6.0	11.4	12.0	13.2	12.4	8.1	8.5	11.6	6.4	6.1	10.9	10.7	10.7	10.7	10.6	6.3	9.0	12.0	7.3	6.8	7.3
'4	3.9	3.5	2.4	3.2	5.6	8.2	9.5	9.4	4.9	5.4	6.3	3.4	3.8	6.5	6.5	6.8	6.6	6.5	3.5	4.5	8.2	2.9	3.7	3.2
'5	2.6	2.9	1.0	2.0	3.0	4.2	5.2	5.0	2.7	3.2	4.2	2.6	1.9	3.6	4.1	2.8	3.3	2.7	2.2	2.6	4.8	1.7	1.4	1.3
'6	2.2	2.1	0.7	1.4	1.7	3.2	3.3	3.6	1.2	1.7	2.9	1.2	1.7	2.4	2.3	2.4	2.5	2.5	2.3	2.0	2.9	0.9	1.1	1.2
'7	1.3	1.7	0.3	1.0	1.8	2.8	2.8	1.8	1.1	0.9	2.7	1.0	0.7	1.7	1.4	1.4	1.5	1.0	1.0	1.0	2.2	1.0	1.0	0.8
'8	1.7	1.1	0.1	0.7	0.6	2.0	2.2	1.8	0.4	0.7	1.6	1.3	0.7	0.7	0.8	0.6	1.4	0.8	1.4	0.8	2.0	0.6	0.6	0.8
'9	1.2	1.7	0.0	0.8	0.7	1.4	1.4	1.2	0.6	0.5	1.0	0.9	0.9	0.6	0.5	0.4	0.7	0.6	1.1	0.8	1.0	0.0	0.6	0.6
'10	0.5	1.6	0.3	0.2	0.6	0.9	0.9	1.1	0.8	0.4	0.5	0.2	0.6	0.9	0.9	1.1	0.5	0.5	0.5	0.9	1.2	0.0	0.0	0.3
11-15	2.5	4.6	0.7	1.4	1.5	2.9	2.1	2.6	2.0	1.7	2.2	1.8	1.7	1.3	1.2	1.3	2.4	2.2	2.8	2.1	1.8	0.5	0.6	1.2
16-20	1.9	3.0	0.6	0.9	1.0	1.4	0.7	1.0	0.5	0.4	2.0	0.8	0.6	1.2	1.3	0.9	0.8	1.0	1.5	0.5	1.5	0.4	0.7	0.2
21-50	2.8	9.6	1.4	2.2	0.5	3.5	2.5	1.1	2.2	1.5	1.2	2.0	1.6	0.6	0.2	0.6	1.6	0.5	3.2	2.1	2.0	0.0	0.3	0.0
51-100	0.6	7.6	0.0	0.0	0.0	0.5	0.6	0.0	0.5	0.0	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
